Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
4364,Maximum City: Bombay Lost and Found,Suketu Mehta,"Mehta, Suketu",,"=""0375703403""","=""9780375703409""",3,3.95,Vintage,Paperback,542,2005,2004,,2020/07/15,,,read,,,,1,0
19288239,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0385352107""","=""9780385352109""",2,3.87,Alfred A. Knopf,Hardcover,386,2014,2013,,2020/06/15,,,read,,,,1,0
30845,India: From Midnight to the Millennium and Beyond,Shashi Tharoor,"Tharoor, Shashi",,"=""1559708034""","=""9781559708036""",4,3.82,Arcade Publishing,Paperback,420,2006,1997,2020/06/15,2018/12/10,,,read,,,,1,0
35218297,Broken Republic,Arundhati Roy,"Roy, Arundhati",,"=""""","=""""",0,4.07,Penguin,Kindle Edition,188,2013,2011,,2018/12/10,to-read,to-read (#10),to-read,,,,0,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",4,3.99,Vintage Books,Paperback,296,2000,1987,2019/01/03,2018/12/10,,,read,,,,1,0
6851,"Mayada, Daughter of Iraq: One Woman's Survival Under Saddam Hussein",Jean Sasson,"Sasson, Jean",,"=""0451212924""","=""9780451212924""",0,4.04,Penguin Publishing Group,Paperback,360,2004,1995,,2018/12/18,,,read,,,,1,0
613283,Princess: A True Story of Life Behind the Veil in Saudi Arabia,Jean Sasson,"Sasson, Jean",,"=""0967673747""","=""9780967673745""",3,4.04,Windsor-brooke Books,Paperback,296,2001,1993,,2018/12/18,,,read,,,,1,0
36076501,The Girl Who Smiled Beads: A Story of War and What Comes After,Clemantine Wamariya,"Wamariya, Clemantine",Elizabeth Weil,"=""0385687001""","=""9780385687003""",0,4.19,Doubleday Canada,Hardcover,275,2018,2018,,2018/12/15,to-read,to-read (#11),to-read,,,,0,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""043512398X""","=""9780435123987""",0,4.33,New Windmills,Hardcover,240,1992,1988,,2018/12/10,,,read,,,,1,0
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0142403881""","=""9780142403884""",0,4.17,Puffin Books,Paperback,176,2005,1964,,2018/12/10,,,read,,,,1,0
